beta mean unc mu sigma
10.0936 -0.422086 0.00222166 0.729654 0.637258
10.1956 -0.427871 0.00289014 0.730414 0.645572
10.2986 -0.427315 0.0033966 0.773232 0.664284
10.4026 -0.413415 0.00512747 0.799747 0.688045
10.5077 -0.424185 0.00438506 0.810341 0.673909
10.6138 -0.417374 0.00428406 0.817451 0.674162
10.721 -0.433106 0.00366094 0.81172 0.651042
10.8293 -0.438692 0.00276374 0.770118 0.643099
10.9387 -0.428685 0.00286221 0.81488 0.657675
11.0492 -0.435218 0.00277942 0.796601 0.643868
11.1608 -0.425622 0.00414577 0.841363 0.650103
11.2735 -0.412026 0.0040384 0.876666 0.642695
11.3874 -0.408572 0.00422463 0.860159 0.66286
11.5024 -0.433387 0.00357207 0.849115 0.641719
11.6186 -0.400839 0.00456699 0.890251 0.642667
11.736 -0.431211 0.00312553 0.858075 0.627258
11.8545 -0.437013 0.00313287 0.82443 0.638968
11.9743 -0.438684 0.00377128 0.81852 0.633558
12.0952 -0.437481 0.00333273 0.794224 0.650443
12.2174 -0.429394 0.0035608 0.817703 0.670216
12.3408 -0.430455 0.00316154 0.786221 0.65798
12.4654 -0.43624 0.00225929 0.773392 0.656053
12.5914 -0.426641 0.00342121 0.755428 0.655279
12.7185 -0.42774 0.00275362 0.773953 0.655762
12.847 -0.421772 0.00274635 0.739702 0.667463
12.9768 -0.41136 0.00299566 0.715078 0.665289
13.1079 -0.41572 0.00342485 0.740516 0.676149
13.2403 -0.42283 0.00330977 0.756268 0.672373
13.374 -0.416221 0.00300066 0.719515 0.66627
13.5091 -0.428701 0.00290775 0.74639 0.655145
13.6455 -0.428248 0.00341244 0.773024 0.664096
13.7834 -0.435999 0.00313344 0.785082 0.659966
13.9226 -0.440377 0.00248946 0.789391 0.651296
14.0632 -0.43732 0.00228753 0.767441 0.634482
14.2053 -0.436022 0.00238058 0.767365 0.64042
14.3488 -0.431773 0.00367305 0.79485 0.653502
14.4937 -0.43578 0.00318098 0.78359 0.664958
14.6401 -0.42056 0.00393808 0.764552 0.677928
14.788 -0.410704 0.00397132 0.739262 0.687749
14.9374 -0.407476 0.00350815 0.72612 0.69365
15.0883 -0.4024 0.00356381 0.736341 0.699951
15.2407 -0.395902 0.00425135 0.72857 0.710595
15.3946 -0.393769 0.00360631 0.70623 0.700122
15.5501 -0.41052 0.00329159 0.730379 0.685996
15.7072 -0.41052 0.00329159 0.730379 0.685996
15.8658 -0.406534 0.00387329 0.717921 0.680903
16.0261 -0.406534 0.00387329 0.717921 0.680903
16.188 -0.40829 0.00353405 0.72363 0.672042
16.3515 -0.412046 0.00375576 0.736582 0.686775
16.5167 -0.408544 0.00344208 0.730097 0.685209
16.6835 -0.408544 0.00344208 0.730097 0.685209
16.852 -0.414921 0.002915 0.725482 0.676176
17.0222 -0.415863 0.00388539 0.753544 0.678126
17.1942 -0.412246 0.00321312 0.731064 0.683704
17.3679 -0.418208 0.00338254 0.720763 0.675322
17.5433 -0.405273 0.0034949 0.711912 0.687947
17.7205 -0.395225 0.0041504 0.705461 0.690023
17.8995 -0.405185 0.00376319 0.729833 0.692323
18.0803 -0.405906 0.00347929 0.740906 0.694526
18.2629 -0.404296 0.00376156 0.724601 0.693921
18.4474 -0.411645 0.00327715 0.73105 0.691101
18.6337 -0.411645 0.00327715 0.73105 0.691101
18.822 -0.410951 0.00361946 0.739892 0.685311
19.0121 -0.405157 0.0046732 0.75841 0.690901
19.2041 -0.40633 0.00447402 0.780835 0.693249
19.3981 -0.4177 0.00444088 0.780276 0.688356
19.594 -0.422066 0.00387985 0.77971 0.695713
19.792 -0.422066 0.00387985 0.77971 0.695713
19.9919 -0.422066 0.00387985 0.77971 0.695713
20.1938 -0.422066 0.00387985 0.77971 0.695713
20.3978 -0.412054 0.00382358 0.796643 0.695506
20.6038 -0.408991 0.00532009 0.80198 0.692633
20.812 -0.409875 0.00487193 0.790058 0.685902
21.0222 -0.416548 0.00428428 0.767907 0.675622
21.2345 -0.415242 0.00404319 0.774298 0.68503
21.449 -0.419746 0.00423394 0.768349 0.683018
21.6657 -0.404551 0.00529745 0.748525 0.690638
21.8845 -0.414157 0.00358863 0.734953 0.684147
22.1056 -0.41715 0.00425722 0.757344 0.682693
22.3289 -0.423827 0.0036345 0.759479 0.671612
22.5544 -0.416162 0.0036204 0.744773 0.677518
22.7822 -0.421875 0.00327493 0.765326 0.674783
23.0123 -0.411524 0.00428797 0.761684 0.685461
23.2448 -0.419592 0.00383088 0.776977 0.675878
23.4796 -0.425337 0.00381371 0.784871 0.679942
23.7168 -0.417303 0.00458028 0.78114 0.674868
23.9563 -0.427959 0.00361068 0.785955 0.677615
24.1983 -0.427959 0.00361068 0.785955 0.677615
24.4427 -0.420675 0.00368675 0.787612 0.679668
24.6896 -0.420063 0.00477398 0.804991 0.67485
24.939 -0.417852 0.0045906 0.817452 0.673449
25.1909 -0.415815 0.00431577 0.819643 0.678571
25.4454 -0.414386 0.00468199 0.815868 0.673521
25.7024 -0.421694 0.0041635 0.813988 0.668756
25.962 -0.404731 0.00525016 0.826566 0.678259
26.2243 -0.406998 0.00462835 0.84421 0.675931
26.4892 -0.40974 0.00477763 0.830675 0.679916
26.7567 -0.421495 0.00453104 0.815977 0.672851
27.027 -0.426796 0.00331657 0.817223 0.665771
27.3 -0.432204 0.00370293 0.823625 0.658593
27.5758 -0.430134 0.00401339 0.814409 0.656569
27.8543 -0.430134 0.00401339 0.814409 0.656569
28.1357 -0.431969 0.00332112 0.798647 0.658482
28.4198 -0.432771 0.00326369 0.783472 0.652288
28.7069 -0.431786 0.00343739 0.781391 0.656433
28.9969 -0.439071 0.00352493 0.784584 0.658521
29.2898 -0.426765 0.00357992 0.789082 0.65946
29.5856 -0.431635 0.00280785 0.793248 0.659193
29.8845 -0.433117 0.0030466 0.790175 0.661819
30.1864 -0.431631 0.0034217 0.792075 0.665816
30.4913 -0.432114 0.00395935 0.792491 0.66363
30.7993 -0.436522 0.00278822 0.793735 0.664506
31.1104 -0.426642 0.00376989 0.804058 0.659865
31.4246 -0.43306 0.0033468 0.804542 0.655517
31.742 -0.431515 0.00422124 0.809691 0.65231
32.0627 -0.442127 0.00277307 0.80472 0.645983
32.3865 -0.442127 0.00277307 0.80472 0.645983
32.7137 -0.442407 0.00296745 0.805334 0.646465
33.0441 -0.442407 0.00296745 0.805334 0.646465
33.3779 -0.441855 0.00282328 0.790535 0.653531
33.715 -0.43953 0.00233425 0.780955 0.650284
34.0556 -0.43953 0.00233425 0.780955 0.650284
34.3996 -0.434266 0.00388903 0.794491 0.650394
34.747 -0.443205 0.00273945 0.798307 0.64735
35.098 -0.43336 0.00378739 0.800521 0.651883
35.4526 -0.432593 0.00403747 0.797254 0.647136
35.8107 -0.434741 0.00284993 0.7881 0.650368
36.1724 -0.432732 0.0031851 0.783142 0.656967
36.5378 -0.436984 0.00270852 0.777538 0.656219
36.9068 -0.435229 0.00260172 0.768989 0.660968
37.2796 -0.424705 0.00322453 0.77085 0.663726
37.6562 -0.419137 0.0046213 0.771791 0.669624
