x y z R
0.0316153 0.0571815 -0.285888 0.29326
-0.587701 0.494396 0.548539 0.943777
-0.587701 0.494396 0.548539 0.943777
-0.587701 0.494396 0.548539 0.943777
-0.587701 0.494396 0.548539 0.943777
-0.587701 0.494396 0.548539 0.943777
-0.587701 0.494396 0.548539 0.943777
-0.938786 -0.586869 0.339416 1.15799
-0.938786 -0.586869 0.339416 1.15799
-0.56048 0.408153 0.527374 0.87112
-0.56048 0.408153 0.527374 0.87112
-0.56048 0.408153 0.527374 0.87112
-0.56048 0.408153 0.527374 0.87112
0.466244 0.334001 1.67361 1.76916
-0.0339378 0.476728 0.492216 0.686074
-0.0339378 0.476728 0.492216 0.686074
0.985936 0.691411 0.153709 1.21398
0.985936 0.691411 0.153709 1.21398
0.591356 0.311446 1.25607 1.42282
0.591356 0.311446 1.25607 1.42282
-0.0502332 1.35561 0.45006 1.42925
-0.771493 0.566248 0.383526 1.03099
-0.771493 0.566248 0.383526 1.03099
-0.771493 0.566248 0.383526 1.03099
-0.20407 0.415339 -0.465823 0.656614
-0.20407 0.415339 -0.465823 0.656614
-0.797156 0.456628 0.450375 1.02313
0.0856543 0.768436 -0.444987 0.892101
1.19933 0.370898 -0.218735 1.27428
1.55113 -0.252925 0.43971 1.63197
1.38949 -0.298486 0.50062 1.50678
1.38949 -0.298486 0.50062 1.50678
1.38949 -0.298486 0.50062 1.50678
0.180826 0.177326 1.12804 1.15613
0.88838 -0.263799 0.995341 1.35997
0.88838 -0.263799 0.995341 1.35997
0.486424 -0.0916695 0.467674 0.680978
0.486424 -0.0916695 0.467674 0.680978
0.486424 -0.0916695 0.467674 0.680978
-0.279719 -0.666593 -0.477945 0.866615
-0.279719 -0.666593 -0.477945 0.866615
-0.279719 -0.666593 -0.477945 0.866615
-0.279719 -0.666593 -0.477945 0.866615
-0.642497 -1.24234 -0.592877 1.51912
-0.642497 -1.24234 -0.592877 1.51912
-0.767335 -1.77003 0.591783 2.01792
-0.767335 -1.77003 0.591783 2.01792
-0.647206 -1.69815 -0.24393 1.8336
-0.647206 -1.69815 -0.24393 1.8336
-0.0351109 -2.07687 0.930157 2.27592
-0.0351109 -2.07687 0.930157 2.27592
-0.0351109 -2.07687 0.930157 2.27592
1.11539 -1.24238 0.827765 1.86354
0.91241 -0.965971 1.82844 2.26026
0.91241 -0.965971 1.82844 2.26026
0.422505 -0.223803 0.998152 1.10675
0.422505 -0.223803 0.998152 1.10675
0.422505 -0.223803 0.998152 1.10675
0.422505 -0.223803 0.998152 1.10675
0.845993 0.191881 1.66298 1.87564
0.845993 0.191881 1.66298 1.87564
0.439492 1.14444 1.67395 2.07485
-0.215077 0.849566 1.40781 1.6583
-0.565389 -0.209225 1.54352 1.65707
-0.565389 -0.209225 1.54352 1.65707
-0.565389 -0.209225 1.54352 1.65707
0.53705 0.593866 1.39422 1.60778
0.53705 0.593866 1.39422 1.60778
-0.117173 0.554373 1.88915 1.9723
1.09435 -0.367805 0.992123 1.52223
1.09435 -0.367805 0.992123 1.52223
1.09435 -0.367805 0.992123 1.52223
1.09435 -0.367805 0.992123 1.52223
-0.0988163 0.498747 1.38216 1.47271
0.173528 0.811596 1.73363 1.92205
0.173528 0.811596 1.73363 1.92205
0.173528 0.811596 1.73363 1.92205
-0.782735 0.780843 2.30727 2.5585
-0.782735 0.780843 2.30727 2.5585
-0.782735 0.780843 2.30727 2.5585
-0.498789 -0.316537 1.86042 1.95196
-0.498789 -0.316537 1.86042 1.95196
-0.498789 -0.316537 1.86042 1.95196
-0.498789 -0.316537 1.86042 1.95196
-0.197471 -0.166704 1.51074 1.53269
-0.969863 0.0517878 1.0305 1.41607
-0.969863 0.0517878 1.0305 1.41607
-1.82535 0.256465 0.732503 1.98349
-1.79514 0.635429 1.22085 2.26203
-1.2441 0.015362 0.307924 1.28173
-1.08451 0.132427 -0.253541 1.1216
-0.253249 -0.607008 -1.46368 1.60466
-0.253249 -0.607008 -1.46368 1.60466
-0.438809 -1.5016 -0.308316 1.59449
0.486918 -0.482887 -0.186724 0.710728
0.486918 -0.482887 -0.186724 0.710728
0.486918 -0.482887 -0.186724 0.710728
-0.317345 -0.178635 0.55509 0.663885
-0.317345 -0.178635 0.55509 0.663885
0.235376 -0.403421 -0.643269 0.79495
0.235376 -0.403421 -0.643269 0.79495
0.621791 0.748941 -0.266412 1.00921
0.621791 0.748941 -0.266412 1.00921
0.621791 0.748941 -0.266412 1.00921
0.0784401 1.67543 -0.163889 1.68526
