T U Err_U M Err_M Cv Err_Cv X Err_X
1.57 -28.2123 0.00863245 2.34042 0.0341848 14.0012 0.0251075 117.157 0.311026 
1.58 -28.072 0.00949011 2.31071 0.0386143 13.9033 0.0246804 115.127 0.362838 
1.59 -27.9404 0.00747405 2.29138 0.0475507 13.7806 0.0280112 113.688 0.351212 
1.6 -27.8053 0.00751803 2.23925 0.0388654 13.6657 0.022131 112.136 0.317287 
1.61 -27.6668 0.00722898 2.22175 0.0289304 13.5572 0.0209437 110.034 0.256871 
1.62 -27.5295 0.00795443 2.21206 0.0278858 13.4304 0.0238478 108.62 0.21695 
1.63 -27.3948 0.00785566 2.19253 0.0291132 13.3194 0.0284034 107.182 0.239617 
1.64 -27.2626 0.00750153 2.15049 0.0273836 13.1946 0.0224955 105.682 0.282024 
1.65 -27.134 0.00755008 2.05511 0.0284023 13.0988 0.0239016 104.13 0.225424 
1.66 -27.0007 0.00759169 2.04251 0.0373674 12.9891 0.0209096 102.551 0.246355 
1.67 -26.8724 0.00807283 2.01209 0.0374975 12.8953 0.020834 100.774 0.174118 
1.68 -26.7462 0.00718029 1.96311 0.0372518 12.7951 0.0217889 99.6983 0.257248 
1.69 -26.6186 0.00774246 1.92251 0.0316726 12.6724 0.019404 98.7925 0.218235 
1.7 -26.4878 0.00816113 1.93396 0.0377512 12.57 0.0209206 97.3304 0.227899 
1.71 -26.3629 0.00744102 1.884 0.0370843 12.4551 0.022703 95.9535 0.240337 
1.72 -26.2415 0.00667379 1.84201 0.0355138 12.3324 0.0213791 94.6252 0.268282 
1.73 -26.1171 0.00714955 1.84648 0.0264942 12.2289 0.0193301 93.4587 0.191988 
1.74 -25.9952 0.00890631 1.83812 0.0288441 12.1304 0.0207418 92.2769 0.216969 
1.75 -25.8788 0.00882333 1.83995 0.0370416 12.0335 0.0228092 91.1986 0.252812 
1.76 -25.7582 0.00888485 1.7815 0.0382885 11.9465 0.0207347 90.1014 0.189122 
1.77 -25.6382 0.00803558 1.74503 0.0322932 11.8586 0.0213917 89.0236 0.25655 
1.78 -25.5294 0.00794535 1.71454 0.0320777 11.759 0.0225524 87.867 0.196638 
1.79 -25.4094 0.00890194 1.67096 0.0285557 11.6546 0.0178648 86.8141 0.189715 
1.8 -25.2886 0.0101659 1.6634 0.0314214 11.5666 0.0151098 85.8844 0.152996 
1.81 -25.1697 0.011704 1.64241 0.0388486 11.4793 0.0173116 84.6328 0.149626 
1.82 -25.0593 0.0107289 1.6363 0.0362711 11.3823 0.0192996 83.7968 0.148758 
1.83 -24.943 0.0106566 1.62814 0.0342417 11.285 0.0171178 82.9137 0.217548 
1.84 -24.8329 0.0106334 1.57331 0.0394336 11.1905 0.0161731 81.9371 0.2116 
1.85 -24.7148 0.0101169 1.54714 0.0385875 11.1112 0.0142207 81.0204 0.182777 
1.86 -24.6053 0.0104335 1.56442 0.0403952 11.0159 0.0156043 79.9902 0.202556 
1.87 -24.4994 0.00859887 1.54173 0.0314778 10.9361 0.0144245 79.1946 0.204186 
1.88 -24.3888 0.00797259 1.52075 0.0293052 10.8547 0.014412 77.9835 0.163003 
1.89 -24.2839 0.00665315 1.54967 0.030847 10.77 0.0147216 77.0021 0.173618 
1.9 -24.1738 0.00799322 1.53536 0.0271647 10.682 0.0146433 76.2064 0.158042 
1.91 -24.0674 0.00812329 1.51859 0.0236295 10.6013 0.0161108 75.3759 0.159527 
1.92 -23.9567 0.00852501 1.46654 0.026783 10.5095 0.0148965 74.7981 0.176328 
1.93 -23.8564 0.0080851 1.44845 0.030617 10.4293 0.0171735 74.0535 0.157257 
1.94 -23.7526 0.00893103 1.43484 0.0355692 10.3544 0.0167893 73.1074 0.165405 
1.95 -23.645 0.00894665 1.40055 0.0328562 10.2657 0.017821 72.2849 0.158553 
1.96 -23.5506 0.00905208 1.39869 0.0277223 10.1974 0.016082 71.5301 0.195345 
1.97 -23.4482 0.00867072 1.37298 0.0297733 10.1134 0.0130945 70.7995 0.121523 
1.98 -23.3418 0.0080124 1.36825 0.0226967 10.0217 0.0108266 70.0304 0.130916 
1.99 -23.246 0.00750351 1.3495 0.0205004 9.96015 0.0109775 69.3879 0.171026 
2 -23.147 0.00816738 1.34538 0.0242863 9.88977 0.00854498 68.741 0.143447 
